CompanyName,Logo,Location,Description,Batch,Industry,SubIndustry
Martin,https://bookface-images.s3.amazonaws.com/small_logos/119d7a60f36724b2c8e50e07a148e97dcac4f648.png,"Sunnyvale, CA, USA",An AI voice assistant that knows you.,S23,CONSUMER,HOME AND PERSONAL
Healthtech 1,https://bookface-images.s3.amazonaws.com/small_logos/15cc6519a2b0765f7891150168879dacd368471a.png,,Digitising repetitive processes in healthcare,S23,HEALTHCARE,HEALTHCARE IT
Orbio Earth,https://bookface-images.s3.amazonaws.com/small_logos/c8b46bfc8422d4590d819ae4695c62834845a549.png,"Remote; Berlin, Berlin, Germany; Amsterdam, NH, Netherlands",Tracking methane emissions with satellites,S23,B2B SOFTWARE AND SERVICES,ANALYTICS
CodeStory,https://bookface-images.s3.amazonaws.com/small_logos/6a9169e160dd38d456fe04d3f659d2d15573346d.png,"Remote; San Francisco, CA, USA; London, England, United Kingdom","10x engineer, right inside your editor.",S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
CatX,https://bookface-images.s3.amazonaws.com/small_logos/5e9b41e83a612b700ead913b983376272ea61f82.png,,The exchange for trading and transferring risk,S23,FINANCIAL TECHNOLOGY,INSURANCE
Coba,https://bookface-images.s3.amazonaws.com/small_logos/064ab4995b234ee61187e6d755a27338f57c5c90.png,"Austin, TX, USA; Monterrey, N.L., Mexico; Remote",Dual Currency Accounts For LatAm,S23,FINANCIAL TECHNOLOGY,
Taylor AI,https://bookface-images.s3.amazonaws.com/small_logos/28c895e1c90c675df25bb14de3ff63d85f992b8c.png,"San Francisco, CA, USA",Enabling data scientists to fine-tune and own LLMs,S23,B2B SOFTWARE AND SERVICES,
Tempo Labs,https://bookface-images.s3.amazonaws.com/small_logos/860f478b7cd2ea33eefb86e90c9c693abef2997f.png,"Toronto, ON, Canada",AI design tool like figma which can edit any react codebase,S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
TrendUp,https://bookface-images.s3.amazonaws.com/small_logos/24462245cb946e474172ede7e1fef97091c38ff8.png,"Remote; San Francisco, CA, USA; Irvine, CA, USA",AI tools to help you go viral on any platform,S23,B2B SOFTWARE AND SERVICES,
ztool,https://bookface-images.s3.amazonaws.com/small_logos/18d93949898839bd7fecec02cbbf09f9fc63b33e.png,"San Francisco, CA, USA; New York, NY, USA","The personal developer for entrepreneurs, analysts, and marketers.",S23,B2B SOFTWARE AND SERVICES,PRODUCTIVITY
truemetrics,https://bookface-images.s3.amazonaws.com/small_logos/1513def83138d2fa73600b3cb7004009e52304db.png,"Berlin, Berlin, Germany",Fixing bad GPS positions and incomplete map data on the last mile.,S23,B2B SOFTWARE AND SERVICES,SUPPLY CHAIN AND LOGISTICS
WalletKit,https://bookface-images.s3.amazonaws.com/small_logos/1387fa86038aa086967d6683e91e59a383f2dd17.png,"Remote; New York, NY, USA; Palo Alto, CA, USA",Developer platform for building web3 apps with simple HTTP APIs,S23,B2B SOFTWARE AND SERVICES,INFRASTRUCTURE
AutoInfra,https://bookface-images.s3.amazonaws.com/small_logos/4356c54de3fbcdc51e491bddedb643e4589e87b1.png,,Infrastructure as Language. Automating DevOps and Infra with AI.,S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Nowadays,https://bookface-images.s3.amazonaws.com/small_logos/749f530b1baf217e1e863d6e096dd1712cfa2e42.png,"San Francisco, CA, USA",AI-powered event planning co-pilot.,S23,B2B SOFTWARE AND SERVICES,OPERATIONS
Structured,https://bookface-images.s3.amazonaws.com/small_logos/452e48c0e0c4bddca55b269be9dafcb249e368f0.png,"San Francisco, CA, USA; New York, NY, USA",LLMs for Analyzing Logs and Reducing Downtime,S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Simbie Health,https://bookface-images.s3.amazonaws.com/small_logos/949d642ab981cf259bb83456258bd199124aff24.png,"San Francisco, CA, USA; New York, NY, USA","The AI-powered, virtual front door for women’s health.",S23,HEALTHCARE,
AiSDR,https://bookface-images.s3.amazonaws.com/small_logos/3c4ee33b19412517e139da731ca8d250eae8eee8.png,"Remote; San Francisco, CA, USA",AI sales prospecting. Replace your SDR with AiSDR,S23,B2B SOFTWARE AND SERVICES,SALES
